"ITTER107","Territorio","TIPO_DATO7","Indicatori","CORREZ","Correzione","TIPO_ALLOGGIO2","Tipologia di esercizio","ATECO_2007","Ateco 2007","ISO","Paese di residenza dei clienti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-01","Gen-2013",2536971,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-02","Feb-2013",2615788,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-03","Mar-2013",3254552,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-04","Apr-2013",3238532,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-05","Mag-2013",3374001,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-06","Giu-2013",4570976,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-07","Lug-2013",4973254,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-08","Ago-2013",5934952,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-09","Set-2013",3764172,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-10","Ott-2013",2845508,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-11","Nov-2013",2630334,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2013-12","Dic-2013",2911012,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-01","Gen-2014",2572897,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-02","Feb-2014",2546928,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-03","Mar-2014",3179517,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-04","Apr-2014",3492760,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-05","Mag-2014",3837569,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-06","Giu-2014",4398386,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-07","Lug-2014",4901353,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-08","Ago-2014",6027257,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-09","Set-2014",3771136,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-10","Ott-2014",3001165,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-11","Nov-2014",2578533,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2014-12","Dic-2014",3163301,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-01","Gen-2015",2663478,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-02","Feb-2015",2767375,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-03","Mar-2015",3117526,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-04","Apr-2015",3625962,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-05","Mag-2015",4269372,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-06","Giu-2015",4507440,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-07","Lug-2015",5385670,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-08","Ago-2015",6472089,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-09","Set-2015",4005556,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-10","Ott-2015",3237845,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-11","Nov-2015",2577900,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2015-12","Dic-2015",3291950,,
"IT","Italia","AR","arrivi ","N","dati grezzi","ALL","totale esercizi ricettivi","551","alberghi e strutture simili","IT","Italia","2016-01","Gen-2016",2781116,,
