DATAFLOW,FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,LOCALITY_TYPE,URBANIZ_DEGREE,COASTAL_AREA,SIZE_BY_NUMBER_ROOMS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_ADJUSTMENT,NOTE_TYPE_ACCOMMODATION,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_COUNTRY_RES_GUESTS,NOTE_LOCALITY_TYPE,NOTE_URBANIZ_DEGREE,NOTE_COASTAL_AREA,NOTE_SIZE_BY_NUMBER_ROOMS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2018,64905729,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2019,66371433,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2020,39190227,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2021,51767750,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2022,63427781,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2023,65758654,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2018,128100932,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2019,131381653,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2020,55702138,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2021,78670967,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2022,118514633,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2023,133636709,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,63195203,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,65010220,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,16511911,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,26903217,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,55086852,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,67878055,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2018,212334391,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2019,216076587,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2020,143003478,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2021,183054967,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2022,210939098,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2023,212987794,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2018,428844937,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2019,436739271,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2020,208447085,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2021,289178142,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2022,412008532,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2023,447170049,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,216510546,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,220662684,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,65443607,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,106123175,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,201069434,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),A,IT,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,234182255,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-01,3068340,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_13(1.0),M,IT,AR,N,ALL,551,IT,ALL,ALL,ALL,TOT,2018-02,3024297,,,,,,,,,,,,,,,,
