DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,STARTING_MONTH,RESERVATION_TYPE,TYPE_ACCOMMODATION_BOOKING,TYPE_TRANSPORT_BOOKING,BOOKING_INTERNET,MEAN_TRANSPORT_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_STARTING_MONTH,NOTE_RESERVATION_TYPE,NOTE_TYPE_ACCOMMODATION_BOOKING,NOTE_TYPE_TRANSPORT_BOOKING,NOTE_BOOKING_INTERNET,NOTE_MEAN_TRANSPORT_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,855,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,0,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,135,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,243,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,APR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,409,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,AUG,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,266,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,AUG,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,250,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,AUG,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,172,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,AUG,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,182,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,AUG,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,148,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,DEC,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,658,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,DEC,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,124,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,DEC,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,339,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,DEC,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,425,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,DEC,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,338,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,FEB,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,578,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,FEB,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,713,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,FEB,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,127,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,FEB,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2022,173,,,,,,,,,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_9(1.0),A,IT,TRIPS_ABS_1,TOTAL,BUS,9,FEB,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2023,357,,,,,,,,,,,,,,,,,
