DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,STARTING_MONTH,RESERVATION_TYPE,TYPE_ACCOMMODATION_BOOKING,TYPE_TRANSPORT_BOOKING,BOOKING_INTERNET,MEAN_TRANSPORT_MEANS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_STARTING_MONTH,NOTE_RESERVATION_TYPE,NOTE_TYPE_ACCOMMODATION_BOOKING,NOTE_TYPE_TRANSPORT_BOOKING,NOTE_BOOKING_INTERNET,NOTE_MEAN_TRANSPORT_MEANS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,AIR,2018,1131,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,AIR,2019,633,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,AIR,2020,175,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,AIR,2021,304,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,AIR,2022,302,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,AIR,2023,441,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2018,6508,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2019,5843,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2020,2166,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
IT1:68_698_DF_DCCV_VIAGGI_CHARACT_CAPI_3(1.0),A,IT,TRIPS_ABS_1,IT,BUS,9,YEAR,TOTAL,TOTAL,TOTAL,TOTAL,ALL,2021,2441,,,,,,,,T_BIS__YEAR_N1,,,,,,,,,
