DATAFLOW,FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,LOCALITY_TYPE,URBANIZ_DEGREE,COASTAL_AREA,SIZE_BY_NUMBER_ROOMS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_ADJUSTMENT,NOTE_TYPE_ACCOMMODATION,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_COUNTRY_RES_GUESTS,NOTE_LOCALITY_TYPE,NOTE_URBANIZ_DEGREE,NOTE_COASTAL_AREA,NOTE_SIZE_BY_NUMBER_ROOMS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2018,3235861,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2019,3247746,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2020,1570099,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2021,2313748,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2022,3070037,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2023,3115485,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2018,5276117,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2019,5357016,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2020,2241468,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2021,3401574,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2022,5248980,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2023,5541670,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,2040256,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,2109270,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,671369,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,1087826,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,2178943,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,2426185,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2018,2445233,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2019,2308444,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2020,1097032,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2021,1643870,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2022,2228572,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2023,2277306,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2018,3891498,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2019,3830628,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2020,1530206,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2021,2321177,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2022,3709894,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2023,3944701,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,1446265,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,1522184,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,433174,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,677307,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,1481322,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,1667395,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2018,790628,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2019,939302,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2020,473067,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2021,669878,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2022,841465,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2023,838179,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2018,1384619,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2019,1526388,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2020,711262,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2021,1080397,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2022,1539086,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2023,1596969,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,593991,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,587086,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,238195,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,410519,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,697621,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,AR,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,758790,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2018,8467295,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2019,8351424,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2020,4372061,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2021,5782004,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2022,7270164,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2023,7229845,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2018,15100768,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2019,14889951,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2020,6636012,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2021,9279507,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2022,13749579,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2023,14410448,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,6633473,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,6538527,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,2263951,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,3497503,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,6479415,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,7180603,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2018,5344013,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2019,4734822,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2020,2433630,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2021,3475510,,,,,,,,,,,,,,,,
