DATAFLOW,FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,LOCALITY_TYPE,URBANIZ_DEGREE,COASTAL_AREA,SIZE_BY_NUMBER_ROOMS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_ADJUSTMENT,NOTE_TYPE_ACCOMMODATION,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_COUNTRY_RES_GUESTS,NOTE_LOCALITY_TYPE,NOTE_URBANIZ_DEGREE,NOTE_COASTAL_AREA,NOTE_SIZE_BY_NUMBER_ROOMS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2018,17.1,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2019,17.1,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2020,10.5,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2021,13.8,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2022,16.4,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2023,16.6,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2018,34,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2019,34.2,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2020,15.1,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2021,20.7,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2022,30.7,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2023,33.5,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,16.9,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,17.1,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,4.6,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,6.9,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,14.3,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,16.9,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2018,24.2,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2019,24.5,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2020,20.6,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2021,25.3,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2022,25.8,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2023,25.5,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2018,48.3,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2019,49,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2020,29.7,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2021,37.9,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2022,48.3,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2023,51.5,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,24,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,24.5,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,9.1,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,12.6,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,22.5,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,IT,NT_UT_001,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,26.1,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2018,18.1,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2019,16.2,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2020,8.3,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2021,12,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2022,15.6,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2023,15.4,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2018,31.4,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2019,30.2,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2020,12.4,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2021,17.7,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2022,28.3,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WORLD,ALL,ALL,ALL,TOT,2023,29.5,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,13.3,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,14,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,4.1,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,5.7,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,12.7,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,GR_UT_002,N,HOTELLIKE,551,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,14.1,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_11(1.0),A,ITC1,NT_UT_001,N,HOTELLIKE,551,IT,ALL,ALL,ALL,TOT,2018,25.8,,,,,,,,,,,,,,,,
