DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_TYPE_ACCOMMODATION,SEX,AGE,LABPROF_STATUS_C,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_SEX,NOTE_AGE,NOTE_LABPROF_STATUS_C,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,BUS,9,9,TOTAL,99,2019,17281,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,BUS,9,9,TOTAL,99,2020,6596,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,BUS,9,9,TOTAL,99,2021,10617,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,BUS,9,9,TOTAL,99,2022,9581,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,BUS,9,9,TOTAL,99,2023,10999,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOL,9,9,TOTAL,99,2019,261277,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOL,9,9,TOTAL,99,2020,196077,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOL,9,9,TOTAL,99,2021,227150,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOL,9,9,TOTAL,99,2022,245795,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOL,9,9,TOTAL,99,2023,224708,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLL,9,9,TOTAL,99,2019,214257,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLL,9,9,TOTAL,99,2020,167432,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLL,9,9,TOTAL,99,2021,199427,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLL,9,9,TOTAL,99,2022,204658,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLL,9,9,TOTAL,99,2023,188076,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLS,9,9,TOTAL,99,2019,47021,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLS,9,9,TOTAL,99,2020,28645,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLS,9,9,TOTAL,99,2021,27723,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLS,9,9,TOTAL,99,2022,41136,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,HOLS,9,9,TOTAL,99,2023,36633,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,TRIP,9,9,TOTAL,99,2019,278558,,,,,,,,,,,,,,
IT1:68_357_DF_DCCV_TURNOT_CAPI_1(1.0),A,IT,NI_IT_ABS_1,IT,TRIP,9,9,TOTAL,99,2020,202673,,,,,,,,,,,,,,
