DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,AREA_DESTINATION,TYPE_TRIP,REASONS_NO_HOLIDAYS,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_AREA_DESTINATION,NOTE_TYPE_TRIP,NOTE_REASONS_NO_HOLIDAYS,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,1,Y_GE15,2018,13468,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,1,Y_GE15,2019,13746,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,1,Y_GE15,2020,18445,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,1,Y_GE15,2021,16885,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,1,Y_GE15,2022,14544,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,1,Y_GE15,2023,14618,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,2,Y_GE15,2018,15205,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,2,Y_GE15,2019,14904,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,2,Y_GE15,2020,20039,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,2,Y_GE15,2021,18382,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,2,Y_GE15,2022,15753,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,2,Y_GE15,2023,16067,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y_GE15,2018,28673,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
IT1:68_161_DF_DCCV_TURANN_NO_TURAN_CAPI_1(1.0),A,IT,DEM_NOPTOUR_ABS_ANN_1,ALL,HOL,ALL,9,Y_GE15,2019,28650,,,,,,,TIPO_MOTIVO1__ALL_N1,,,,,,
