DATAFLOW,FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,LOCALITY_TYPE,URBANIZ_DEGREE,COASTAL_AREA,SIZE_BY_NUMBER_ROOMS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_ADJUSTMENT,NOTE_TYPE_ACCOMMODATION,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_COUNTRY_RES_GUESTS,NOTE_LOCALITY_TYPE,NOTE_URBANIZ_DEGREE,NOTE_COASTAL_AREA,NOTE_SIZE_BY_NUMBER_ROOMS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2018,64905729,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2019,66371433,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2020,39190227,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2021,51767750,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2022,63427781,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2023,65758654,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITC1,ALL,ALL,ALL,TOT,2018,5055682,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITC1,ALL,ALL,ALL,TOT,2019,5273804,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITC1,ALL,ALL,ALL,TOT,2020,3037126,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITC1,ALL,ALL,ALL,TOT,2021,4067341,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITC1,ALL,ALL,ALL,TOT,2022,4873626,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITC1,ALL,ALL,ALL,TOT,2023,4818684,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_8(1.0),A,IT,AR,N,ALL,551_553,ITC2,ALL,ALL,ALL,TOT,2018,144688,,,,,,,,,,,,,,,,
