DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,TYPE_TRIP,MAIN_DESTINATION,MAIN_TYPE_ACCOMMODATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_TYPE_TRIP,NOTE_MAIN_DESTINATION,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,3,2019,111,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,3,2020,98,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,3,2021,100,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,3,2022,113,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,3,2023,129,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,4,2019,68,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,4,2020,66,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,4,2021,65,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,4,2022,72,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,4,2023,82,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2019,93,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2020,81,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2021,82,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2022,94,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2023,108,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,3,2019,568,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,3,2020,458,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,3,2021,538,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,3,2022,583,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,3,2023,646,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,4,2019,409,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,4,2020,430,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,4,2021,454,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,4,2022,460,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,4,2023,501,,,,,,,TIPO_ALLOGGIO__4_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,5,2019,506,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,5,2020,444,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,5,2021,500,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,5,2022,533,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),A,IT,EXP_AV_TOT,HOL,TOTAL,5,2023,589,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2019-Q1,129,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2019-Q2,125,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2019-Q3,97,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2019-Q4,131,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2020-Q1,134,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2020-Q2,99,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2020-Q3,90,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2020-Q4,117,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2021-Q1,95,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2021-Q2,90,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_3(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,3,2021-Q3,97,,,,,,,TIPO_ALLOGGIO__3_N1,,,,
