DATAFLOW,FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,LOCALITY_TYPE,URBANIZ_DEGREE,COASTAL_AREA,SIZE_BY_NUMBER_ROOMS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_ADJUSTMENT,NOTE_TYPE_ACCOMMODATION,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_COUNTRY_RES_GUESTS,NOTE_LOCALITY_TYPE,NOTE_URBANIZ_DEGREE,NOTE_COASTAL_AREA,NOTE_SIZE_BY_NUMBER_ROOMS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2018,64905729,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2019,66371433,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2020,39190227,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2021,51767750,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2022,63427781,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2023,65758654,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,CPROV,ALL,ALL,TOT,2023,2892914,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,CPROV_MUN,ALL,ALL,TOT,2023,29337115,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,MUN,ALL,ALL,TOT,2023,26444201,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,TOUR,ALL,ALL,TOT,2023,36421539,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,TOUR_HILL,ALL,ALL,TOT,2023,1472807,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,TOUR_HIST_ART,ALL,ALL,TOT,2023,5203810,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,TOUR_LACSTR,ALL,ALL,TOT,2023,2528860,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,TOUR_MOUNT,ALL,ALL,TOT,2023,7049221,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,TOUR_SEASD,ALL,ALL,TOT,2023,17924024,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,IT,TOUR_THRM,ALL,ALL,TOT,2023,2242817,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_10(1.0),A,IT,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2018,128100932,,,,,,,,,,,,,,,,
