DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,TYPE_TRIP,MAIN_DESTINATION,MAIN_TYPE_ACCOMMODATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_TYPE_TRIP,NOTE_MAIN_DESTINATION,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,IT,5,2019,81,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,IT,5,2020,76,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,IT,5,2021,80,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,IT,5,2022,88,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,IT,5,2023,94,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2019,93,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2020,81,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2021,82,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2022,94,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,TOTAL,5,2023,108,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2019,117,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2020,137,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),A,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2021,93,,,,,,,,,,,
