DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,TYPE_TRIP,MAIN_DESTINATION,MAIN_TYPE_ACCOMMODATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_TYPE_TRIP,NOTE_MAIN_DESTINATION,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,IT,5,2018,83,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,IT,5,2019,85,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,IT,5,2020,77,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,IT,5,2021,82,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,IT,5,2022,89,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,IT,5,2023,95,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,TOTAL,5,2018,96,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,TOTAL,5,2019,98,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,TOTAL,5,2020,82,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,TOTAL,5,2021,84,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,TOTAL,5,2022,96,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,TOTAL,5,2023,110,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,WRL_X_ITA,5,2018,122,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,WRL_X_ITA,5,2019,126,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,WRL_X_ITA,5,2020,135,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,WRL_X_ITA,5,2021,97,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,WRL_X_ITA,5,2022,116,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_DAY,TRIP,WRL_X_ITA,5,2023,150,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_TOT,TRIP,IT,5,2018,365,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_TOT,TRIP,IT,5,2019,391,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_TOT,TRIP,IT,5,2020,408,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_TOT,TRIP,IT,5,2021,460,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_TOT,TRIP,IT,5,2022,447,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_1(1.0),A,IT,EXP_AV_TOT,TRIP,IT,5,2023,471,,,,,,,,,,,
