DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2023-12,204123,e
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2024-01,169714,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2024-02,168756,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2024-03,224868,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2024-04,391836,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2024-05,510285,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2024-06,869073,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2024-07,1378296,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Albania,2024-08,1697681,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2023-12,9726250,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2024-01,12706968,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2024-02,14667983,
ESTAT:TOUR_OCC_NIM(1.0),26/11/24 11:00:00,Monthly,Total,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Austria,2024-03,11686261,
